candidate,folder,path_class,atoms,path_points,heights,jobs
HATCN,HATCN,site2site,31,5,2,11
F4TCNQ,F4TCNQ,site2site,21,5,2,11
Cs2CO3,Cs2CO3,site2site,7,5,2,11
Bphen,Bphen,toface,43,5,2,11
pyridine,pyridine,toface,12,5,2,11
triazine,triazine,site2site,10,5,2,11
BTD,BTD,site2site,14,5,2,11
Me3P=O,Me3PO,toface,15,5,2,11
Ph3P=O,Ph3PO,toface,36,5,2,11
thiophene,thiophene,toface,10,5,2,11
benzene,benzene,toface,13,5,2,11
PhCN,PhCN,toface,14,5,2,11
DMABN,DMABN,toface,22,5,2,11
pDCNB,pDCNB,site2site,15,7,2,15
oDCNB,oDCNB,site2site,15,5,2,11
PhCz,PhCz,toface,33,5,2,11
TPA,TPA,toface,35,5,2,11
Al4O6,Al4O6,site2site,11,5,2,11
Mo3O9,Mo3O9,site2site,13,5,2,11
Mo3O8,Mo3O8,site2site,12,5,2,11
Cu4I4,Cu4I4,site2site,9,5,2,11
LiF32,LiF32,site2site,33,5,2,11
